,,,,,,,,,,,,,,Buy,,,,,,,,,,,,,Sell,,,,,,,,,,,
,nifty_buy1.3,nifty_buy1.5,nifty_buy1.7,nifty_buy3.3,nifty_buy3.5,nifty_buy3.7,nifty_buy5.3,nifty_buy5.5,nifty_buy5.7,nifty1,nifty3,nifty5,Close, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5,, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5
103,0,0,1,0,0,1,0,0,1,1,1,1,10980,0,0,0.002,0,0,-0.003,0,0,0.005,0.002,-0.003,0,,-0.002,-0.002,0,0.003,0.003,0,-0.005,-0.005,0,,,
104,0,1,1,0,1,1,0,0,1,1,1,1,10997.35,0,-0.012,-0.012,0,-0.013,-0.013,0,0,0.01,-0.012,-0.013,0,,0.012,0,0,0.013,0,0,-0.01,-0.01,0,,,
105,1,1,1,1,1,1,1,1,1,1,1,1,10862.6,0.008,0.008,0.008,0.016,0.016,0.016,0.006,0.006,0.006,0.008,0.016,0,,0,0,0,0,0,0,0,0,0,,,
106,0,1,0,0,1,0,0,1,0,1,1,1,10948.25,0,-0.008,0,0,0.015,0,0,0.007,0,-0.008,0.015,0,,0.009,0,0.009,-0.015,0,-0.015,-0.007,0,-0.007,,,
107,0,1,0,0,1,0,0,1,0,1,1,1,10855.5,0,0.016,0,0,0.006,0,0,0.018,0,0.016,0.006,0,,-0.016,0,-0.016,-0.006,0,-0.006,-0.017,0,-0.017,,,
108,1,0,0,1,0,0,1,0,0,1,1,1,11032.45,0.007,0,0,0,0,0,0.002,0,0,0.007,0,0,,0,-0.007,-0.007,0,0,0,0,-0.002,-0.002,,,
109,1,1,0,1,1,0,1,0,0,1,1,1,11109.65,-0.017,-0.017,0,-0.006,-0.006,0,-0.008,0,0,-0.017,-0.006,0,,0,0,0.017,0,0,0.006,0,0.008,0.008,,,
110,1,0,1,1,0,1,1,0,1,1,1,1,10925.85,0.009,0,0.009,0.012,0,0.012,-0.001,0,-0.001,0.009,0.012,0,,0,-0.009,0,0,-0.012,0,0,0.001,0,,,
111,1,0,1,1,0,1,1,0,1,1,1,1,11029.4,0.002,0,0.002,-0.001,0,-0.001,-0.026,0,-0.026,0.002,-0.001,0,,0,-0.002,0,0,0.001,0,0,0.027,0,,,
112,0,0,1,0,0,1,0,0,1,1,1,1,11047.8,0,0,0.001,0,0,-0.012,0,0,-0.02,0.001,-0.012,0,,-0.001,-0.001,0,0.012,0.012,0,0.02,0.02,0,,,
113,1,0,1,1,0,1,1,0,1,1,1,1,11053.9,-0.003,0,-0.003,-0.028,0,-0.028,0,0,0,-0.003,-0.028,0,,0,0.003,0,0,0.029,0,0,0,0,,,
114,0,1,1,0,1,1,0,1,1,1,1,1,11017,0,-0.009,-0.009,0,-0.017,-0.017,0,0.008,0.008,-0.009,-0.017,0,,0.009,0,0,0.017,0,0,-0.008,0,0,,,
115,0,1,1,0,1,1,0,1,1,1,1,1,10918.7,0,-0.016,-0.016,0,0.013,0.013,0,0.012,0.012,-0.016,0.013,0,,0.017,0,0,-0.013,0,0,-0.012,0,0,,,
116,0,1,0,1,1,0,0,1,0,1,1,1,10741.35,0,0.008,0,0.034,0.034,0,0,0.019,0,0.008,0.034,0,,-0.008,0,-0.008,0,0,-0.033,-0.019,0,-0.019,,,
117,0,0,0,0,1,0,0,1,0,1,1,1,10829.35,0,0,0,0,0.02,0,0,0.018,0,0.021,0.02,0,,-0.021,-0.021,-0.021,-0.02,0,-0.02,-0.018,0,-0.018,,,
118,1,0,0,1,1,0,1,1,0,1,0,1,11057.85,0.004,0,0,-0.01,-0.01,0,-0.024,-0.024,0,0.004,0,0,,0,-0.004,-0.004,0,0,0.01,0,0,0.024,,,
119,1,0,0,1,1,0,1,1,0,1,0,1,11105.35,-0.005,0,0,-0.007,-0.007,0,-0.023,-0.023,0,-0.005,0,0,,0,0.005,0.005,0,0,0.007,0,0,0.024,,,
120,0,0,0,1,1,0,1,1,0,1,0,1,11046.1,0,0,0,-0.022,-0.022,0,-0.018,-0.018,0,-0.009,0,0,,0.009,0.009,0.009,0,0,0.023,0,0,0.018,,,
121,0,0,1,1,0,1,1,1,1,1,1,1,10948.3,0,0,0.007,-0.009,0,-0.009,0,0,0,0.007,-0.009,0,,-0.007,-0.007,0,0,0.01,0,0,0,0,,,
122,1,0,1,1,0,1,1,0,1,1,0,1,11023.25,-0.02,0,-0.02,-0.016,0,-0.016,-0.002,0,-0.002,-0.02,0,0,,0,0.021,0,0,0.016,0,0,0.002,0,,,
